date,day_of_week,stress_score,caffeine_mg,caffeine_hours_before_bed,screen_time_before_bed_min,room_temp_c,noise_level_db,exercise_minutes,exercise_time_of_day,last_meal_delta_hr,sleep_duration_min,sleep_quality
2025-01-28,1,5.41,100.5,1.73,41.6,23.61,25.7,42.3,morning,2.43,397.9,5.04
2025-01-29,2,6.18,163.2,12.2,58.5,21.29,52.0,33.8,evening,2.14,380.9,4.61
2025-01-30,3,6.42,59.2,9.35,31.2,22.61,44.0,61.4,morning,0.61,370.1,5.31
2025-01-31,4,5.48,214.0,8.91,21.0,18.68,38.3,0.7,none,2.87,450.8,7.15
2025-02-01,5,3.64,128.7,5.22,53.3,23.41,25.0,13.2,morning,0.6,432.5,6.09
2025-02-02,6,4.79,84.3,7.44,66.4,20.92,39.9,30.4,morning,2.32,437.0,6.52
2025-02-03,0,5.6,60.7,6.62,64.6,19.16,31.4,29.0,morning,2.51,464.3,7.66
2025-02-04,1,5.96,160.0,13.98,30.9,16.89,50.8,15.8,morning,4.07,369.0,5.51
2025-02-05,2,4.43,68.3,8.32,45.5,21.0,26.7,0.0,none,1.93,450.3,6.73
2025-02-06,3,4.75,163.9,7.69,45.6,19.23,36.6,28.9,morning,2.03,423.8,7.65
2025-02-07,4,4.77,168.1,1.02,9.1,17.83,25.0,11.4,evening,2.16,453.0,5.47
2025-02-08,5,5.82,121.6,9.06,46.8,18.99,33.2,0.0,none,2.07,486.0,6.61
2025-02-09,6,4.49,140.0,1.88,54.5,20.26,25.0,43.6,morning,1.86,390.2,5.48
2025-02-10,0,5.01,108.7,7.99,42.2,22.88,35.3,0.0,none,2.1,436.8,6.49
2025-02-11,1,4.91,140.3,12.85,76.5,20.62,39.3,46.5,morning,2.9,434.3,6.5
2025-02-12,2,4.35,20.0,0.78,12.7,19.67,35.7,63.7,morning,1.35,414.8,7.22
2025-02-13,3,4.4,126.9,8.86,28.2,22.41,28.9,25.1,morning,2.77,442.2,8.26
2025-02-14,4,5.06,117.0,6.49,19.4,21.27,31.2,38.3,evening,2.94,436.3,6.16
2025-02-15,5,4.81,174.8,0.0,38.3,16.92,26.0,52.3,morning,1.64,293.8,4.01
2025-02-16,6,4.5,261.7,6.3,33.8,21.34,25.5,19.1,afternoon,2.4,446.3,7.72
2025-02-17,0,5.18,80.0,9.69,67.6,18.75,30.9,51.7,morning,4.18,477.2,6.7
2025-02-18,1,5.2,136.9,11.69,27.8,18.81,34.4,34.0,morning,3.26,470.1,7.14
2025-02-19,2,3.4,61.6,1.94,18.5,20.95,36.6,19.9,afternoon,2.74,451.7,6.86
2025-02-20,3,4.52,139.7,8.67,40.9,24.16,37.3,18.9,afternoon,1.26,378.0,5.05
2025-02-21,4,4.66,137.7,7.15,19.7,22.12,43.9,21.8,evening,3.16,376.4,7.12
2025-02-22,5,4.75,133.9,2.3,48.8,17.88,48.7,50.0,afternoon,2.94,361.2,4.26
2025-02-23,6,4.64,53.1,7.14,84.9,18.38,31.3,29.7,evening,1.03,482.5,5.83
2025-02-24,0,3.59,33.3,5.73,24.6,21.96,39.9,0.0,none,1.81,408.4,7.38
2025-02-25,1,3.7,143.3,9.29,44.0,17.47,42.3,4.3,none,0.79,388.6,5.9
2025-02-26,2,3.29,150.9,7.72,22.7,23.11,34.5,25.6,afternoon,1.76,415.1,7.75
2025-02-27,3,3.68,192.5,3.88,0.0,23.4,58.4,16.9,afternoon,2.13,413.5,6.2
2025-02-28,4,3.41,143.6,8.57,5.1,21.76,54.4,28.4,morning,2.33,373.3,7.9
2025-03-01,5,4.16,90.7,10.54,41.5,23.5,29.2,36.7,morning,1.46,465.7,6.4
2025-03-02,6,4.26,13.3,4.95,27.0,19.88,37.3,0.0,none,3.08,331.4,6.58
2025-03-03,0,5.12,137.2,4.86,8.7,22.0,40.8,72.7,afternoon,2.97,455.5,6.85
2025-03-04,1,5.52,198.8,5.44,26.3,19.64,44.3,55.0,afternoon,1.99,420.6,7.22
2025-03-05,2,6.0,0.0,4.52,19.4,16.32,30.3,6.7,afternoon,3.84,382.0,6.07
2025-03-06,3,5.56,186.9,4.07,16.8,21.51,36.2,37.9,morning,3.34,416.3,5.81
2025-03-07,4,5.18,48.3,2.31,48.7,19.87,29.8,23.1,morning,0.2,377.7,5.15
2025-03-08,5,6.16,145.1,7.3,22.2,18.48,41.6,26.2,morning,2.27,433.8,7.07
2025-03-09,6,6.26,177.2,0.14,0.1,22.3,47.5,4.6,none,2.62,469.6,4.48
2025-03-10,0,6.13,105.6,4.32,35.2,19.96,29.9,66.0,evening,3.86,438.7,4.82
2025-03-11,1,6.14,154.5,10.75,47.7,21.83,43.1,31.8,morning,2.6,370.8,5.82
2025-03-12,2,6.89,237.0,11.08,40.1,22.93,38.1,29.1,afternoon,2.98,372.3,6.08
2025-03-13,3,6.1,122.9,12.39,52.9,20.52,40.0,25.9,afternoon,1.2,388.3,5.63
2025-03-14,4,4.76,149.0,8.17,0.0,20.28,46.0,46.2,evening,2.55,378.2,5.86
2025-03-15,5,5.1,143.5,8.86,67.0,20.26,28.0,18.6,afternoon,2.26,432.3,6.52
2025-03-16,6,4.7,80.2,5.93,37.0,20.94,40.2,2.2,none,4.23,339.1,5.65
2025-03-17,0,3.48,111.1,7.09,32.6,22.69,25.0,32.9,afternoon,1.15,395.0,6.4
2025-03-18,1,3.44,89.5,11.28,71.7,19.9,53.2,25.7,afternoon,2.39,439.8,6.9
2025-03-19,2,6.35,180.6,4.88,54.4,19.85,34.1,43.2,morning,2.83,433.8,6.35
2025-03-20,3,6.12,11.6,9.0,15.4,17.9,37.5,26.7,morning,3.5,406.6,6.3
2025-03-21,4,5.25,119.0,7.84,14.8,21.8,38.5,0.0,none,2.49,417.3,6.28
2025-03-22,5,5.13,134.4,7.84,22.8,18.39,29.3,30.8,morning,1.98,357.7,6.06
2025-03-23,6,4.48,82.9,3.77,45.8,19.94,46.4,11.5,afternoon,3.07,423.3,4.98
2025-03-24,0,4.76,109.5,11.76,22.6,24.21,36.2,0.0,none,1.21,420.6,4.65
2025-03-25,1,5.26,84.5,9.96,58.2,23.09,42.2,52.3,morning,2.12,418.1,5.48
2025-03-26,2,4.74,108.2,12.65,31.6,21.24,36.1,26.5,morning,3.04,494.8,7.89
2025-03-27,3,5.07,155.9,3.55,33.2,22.19,44.9,29.2,morning,3.09,435.8,6.77
2025-03-28,4,4.78,138.6,0.0,42.7,15.0,25.0,34.0,evening,1.11,435.8,2.43
2025-03-29,5,4.52,251.2,4.99,53.2,23.41,39.0,5.0,none,2.46,391.3,4.0
2025-03-30,6,4.18,169.7,5.1,39.3,20.31,39.8,37.3,morning,1.25,410.4,6.75
2025-03-31,0,3.49,136.0,8.39,4.4,20.91,43.9,32.5,morning,0.81,420.1,7.39
2025-04-01,1,3.74,163.4,11.44,70.9,22.87,37.1,32.1,afternoon,2.65,454.6,6.71
2025-04-02,2,4.2,70.7,5.76,47.7,20.51,40.7,38.4,afternoon,3.41,386.7,7.4
2025-04-03,3,5.56,93.9,2.03,14.1,18.66,38.4,19.5,morning,3.24,438.3,6.94
2025-04-04,4,5.63,161.4,0.68,27.7,16.58,38.3,24.9,morning,3.93,392.8,5.14
2025-04-05,5,5.73,93.4,5.0,64.7,19.5,44.4,38.5,morning,3.67,428.3,6.68
2025-04-06,6,4.89,67.7,3.39,55.9,18.78,41.5,0.2,none,2.63,379.8,7.2
2025-04-07,0,5.99,135.9,8.23,37.4,21.3,36.8,54.1,evening,3.86,408.6,5.14
2025-04-08,1,4.82,146.1,11.34,33.5,20.15,29.1,20.4,evening,1.4,473.3,6.81
2025-04-09,2,6.92,98.2,11.31,39.9,20.23,41.5,26.2,evening,2.01,360.5,5.73
2025-04-10,3,6.62,114.7,5.21,35.2,21.93,39.4,11.9,evening,2.42,439.2,6.32
2025-04-11,4,6.67,206.2,10.39,47.3,21.58,42.2,3.1,none,0.87,448.5,4.12
2025-04-12,5,6.61,220.5,4.18,22.0,20.07,38.8,26.6,morning,2.07,384.9,6.22
2025-04-13,6,6.29,129.2,2.75,40.3,20.17,35.8,60.4,morning,2.21,374.8,4.73
2025-04-14,0,5.58,82.9,11.15,31.7,22.82,38.5,25.7,afternoon,2.5,348.8,7.53
2025-04-15,1,3.91,79.8,7.04,48.8,21.35,34.9,45.4,evening,2.72,433.7,6.6
2025-04-16,2,3.94,154.5,7.33,35.0,23.15,25.0,0.0,none,2.06,366.7,6.28
2025-04-17,3,3.66,58.9,14.0,71.0,19.76,35.1,2.0,none,2.36,414.0,5.84
2025-04-18,4,3.04,60.6,7.45,42.3,21.25,27.4,42.1,afternoon,3.26,384.2,7.69
2025-04-19,5,3.6,132.1,6.84,42.2,23.26,46.1,19.9,morning,4.82,392.8,8.06
2025-04-20,6,3.49,198.5,1.83,18.5,19.62,41.4,23.0,evening,1.69,387.1,6.02
2025-04-21,0,5.74,143.0,9.66,25.2,20.17,32.3,0.0,none,0.33,361.1,4.4
2025-04-22,1,6.4,127.1,10.87,43.2,21.91,30.8,35.5,morning,1.81,445.6,6.75
2025-04-23,2,5.44,55.7,3.45,36.7,21.09,31.7,25.5,morning,3.24,480.4,7.77
2025-04-24,3,4.54,217.8,5.41,55.9,20.62,34.7,0.0,none,0.63,472.2,5.9
2025-04-25,4,4.15,132.2,4.82,22.4,21.89,37.7,59.8,morning,3.7,457.2,7.12
2025-04-26,5,4.17,111.2,4.65,28.3,21.69,43.2,36.9,morning,4.24,438.6,6.74
2025-04-27,6,4.05,114.8,3.2,77.4,21.15,36.3,48.9,evening,0.2,406.8,4.45
2025-04-28,0,4.61,37.7,6.93,75.1,21.98,39.4,16.2,afternoon,0.2,444.8,5.55
2025-04-29,1,3.63,70.7,3.53,15.7,20.6,25.0,37.3,morning,2.2,384.6,6.22
2025-04-30,2,5.07,0.0,5.96,11.4,21.95,32.6,33.1,morning,4.7,443.8,7.31
2025-05-01,3,3.97,184.2,4.72,23.8,20.46,25.5,29.6,morning,2.85,419.1,6.56
2025-05-02,4,4.92,6.7,3.78,52.5,20.99,41.3,62.2,morning,3.29,432.3,8.39
2025-05-03,5,4.38,141.3,6.32,34.5,18.64,56.5,31.5,afternoon,3.6,419.2,7.08
2025-05-04,6,5.03,42.7,6.06,83.3,21.34,35.0,14.9,afternoon,2.2,445.6,5.35
2025-05-05,0,3.77,163.1,5.86,42.5,18.47,48.6,49.9,afternoon,0.68,440.0,6.77
2025-05-06,1,3.11,105.3,8.09,46.1,20.82,40.3,54.5,afternoon,0.2,417.3,6.53
2025-05-07,2,2.6,108.9,10.75,13.3,21.11,30.7,11.6,afternoon,1.85,367.9,7.86
2025-05-08,3,4.9,155.5,6.45,46.5,17.96,47.5,18.5,morning,1.91,447.9,6.49
2025-05-09,4,5.13,160.0,6.97,45.3,19.75,55.8,0.0,none,4.14,493.5,5.42
2025-05-10,5,5.79,183.8,5.08,40.7,20.12,41.1,53.0,afternoon,1.41,453.1,6.16
2025-05-11,6,5.95,171.4,4.19,26.4,18.94,25.0,29.7,afternoon,1.97,364.0,4.94
2025-05-12,0,6.37,89.7,8.08,7.2,23.09,36.8,30.8,evening,4.32,389.8,5.19
2025-05-13,1,5.59,154.7,6.68,27.1,23.14,37.1,71.0,afternoon,4.64,460.3,6.8
2025-05-14,2,4.83,67.6,8.38,54.8,20.57,27.7,0.0,none,0.38,455.7,5.63
2025-05-15,3,4.89,0.0,6.43,31.7,24.27,26.3,17.2,morning,3.04,432.0,7.04
2025-05-16,4,5.17,167.9,4.57,52.6,18.03,40.6,28.6,morning,2.47,379.0,5.9
2025-05-17,5,4.85,52.7,5.97,22.0,21.78,28.5,13.7,morning,4.09,418.0,6.79
2025-05-18,6,5.27,0.0,4.87,85.0,20.74,38.5,36.0,morning,0.2,412.4,4.48
2025-05-19,0,4.65,196.2,6.05,0.0,18.22,25.0,20.3,evening,1.99,484.6,8.56
2025-05-20,1,4.66,0.0,8.85,46.1,21.06,45.9,1.7,none,1.35,356.5,5.86
2025-05-21,2,4.13,204.9,6.22,51.8,20.93,37.2,52.3,evening,0.36,425.0,4.52
2025-05-22,3,4.76,24.3,4.83,23.4,19.84,27.0,12.4,morning,3.43,425.0,7.3
2025-05-23,4,4.58,125.4,4.55,12.1,18.81,32.9,1.7,none,3.38,418.2,5.87
2025-05-24,5,4.59,137.6,4.96,15.9,18.23,38.2,45.6,evening,2.91,419.1,6.68
2025-05-25,6,5.15,78.9,4.64,12.6,16.28,45.5,5.3,morning,0.84,396.8,4.28
2025-05-26,0,4.56,139.6,8.36,41.4,20.93,50.6,3.6,none,3.86,373.1,6.64
2025-05-27,1,4.51,198.1,8.52,38.9,20.11,34.9,30.8,morning,2.45,407.9,7.53
2025-05-28,2,5.09,295.5,1.67,41.5,19.13,42.6,25.9,afternoon,3.91,447.0,4.64
2025-05-29,3,3.37,204.0,8.13,56.6,18.3,31.4,27.9,morning,2.84,372.9,8.0
2025-05-30,4,4.72,118.5,6.39,5.6,21.41,25.0,38.0,morning,2.56,477.5,7.88
2025-05-31,5,4.7,76.3,3.48,70.5,21.47,34.9,20.3,morning,2.97,439.0,5.27
2025-06-01,6,4.92,262.6,1.7,42.9,23.74,47.5,11.1,morning,2.5,367.8,3.16
2025-06-02,0,4.88,23.3,7.41,44.0,20.09,25.1,44.8,afternoon,1.63,373.2,6.97
2025-06-03,1,4.19,82.1,10.69,22.2,21.65,33.7,30.0,morning,3.55,373.5,7.29
2025-06-04,2,3.52,77.7,3.25,43.2,19.66,57.0,0.0,none,1.15,414.2,4.96
2025-06-05,3,2.44,116.3,12.71,25.9,20.97,46.2,21.7,evening,0.2,426.3,7.32
2025-06-06,4,2.73,111.7,5.25,24.4,21.59,27.3,45.9,morning,1.7,487.2,9.12
2025-06-07,5,3.71,54.5,3.41,46.5,20.57,37.3,24.4,afternoon,0.77,453.6,6.24
2025-06-08,6,3.24,96.3,2.54,47.2,19.8,49.8,35.1,morning,3.31,399.8,6.23
2025-06-09,0,4.17,84.7,9.68,19.5,19.39,32.7,13.7,morning,3.25,520.4,8.26
2025-06-10,1,3.76,115.5,3.47,19.4,19.37,29.5,4.0,none,1.04,391.6,6.68
2025-06-11,2,6.28,101.9,7.22,9.1,23.57,47.0,30.9,morning,2.75,469.2,5.79
2025-06-12,3,6.35,135.2,0.0,15.3,21.74,47.7,47.2,morning,2.86,354.6,5.53
2025-06-13,4,5.8,142.1,6.1,0.0,19.91,35.4,22.0,evening,1.97,449.4,7.66
2025-06-14,5,5.26,97.3,5.28,6.6,21.36,38.0,25.8,evening,0.2,423.2,5.42
2025-06-15,6,5.15,131.3,3.61,58.3,22.18,41.9,19.8,evening,3.42,445.0,6.36
2025-06-16,0,4.46,156.6,9.58,66.2,18.92,36.2,39.9,morning,1.16,443.4,6.45
2025-06-17,1,4.74,131.3,6.22,64.6,18.88,33.3,25.2,morning,0.7,340.0,5.43
2025-06-18,2,4.87,52.0,5.85,48.2,19.35,39.9,19.0,morning,3.07,418.4,6.66
2025-06-19,3,5.67,148.3,2.81,48.1,18.55,49.3,45.5,evening,2.69,426.2,4.15
2025-06-20,4,5.14,135.1,9.62,23.8,19.39,28.4,3.7,none,3.38,486.5,7.86
2025-06-21,5,3.91,155.9,9.27,35.9,20.68,25.0,30.3,afternoon,2.74,446.0,6.88
2025-06-22,6,5.08,73.6,1.59,1.9,20.02,33.3,0.0,none,1.96,397.5,5.88
2025-06-23,0,5.82,161.9,6.61,47.4,18.41,38.3,27.9,evening,3.02,439.0,6.24
2025-06-24,1,5.89,0.0,10.57,0.0,19.39,46.2,18.7,afternoon,1.19,361.2,7.32
2025-06-25,2,6.35,126.1,3.42,23.3,18.67,44.9,39.6,morning,2.02,462.9,5.76
2025-06-26,3,4.84,215.1,6.9,11.8,19.28,31.6,0.0,none,1.03,396.0,5.02
2025-06-27,4,3.6,65.1,4.27,17.6,24.1,38.5,29.9,morning,1.72,390.5,6.99
2025-06-28,5,4.82,46.6,4.14,33.3,20.8,32.9,19.6,morning,1.62,440.9,7.54
2025-06-29,6,4.83,93.0,7.39,40.3,19.95,38.8,58.9,morning,3.42,428.5,6.24
2025-06-30,0,6.03,156.5,7.51,23.8,20.56,36.0,9.3,morning,2.74,388.3,5.87
2025-07-01,1,4.64,140.9,8.64,39.6,22.24,38.7,32.8,afternoon,2.39,503.0,6.53
2025-07-02,2,4.46,76.3,8.3,40.0,17.97,47.0,23.1,morning,3.93,385.2,7.36
2025-07-03,3,5.95,166.2,6.97,66.8,20.79,37.8,11.8,morning,3.07,386.9,5.65
2025-07-04,4,5.67,120.5,3.0,5.6,21.52,25.0,29.1,afternoon,4.07,445.9,6.41
2025-07-05,5,5.11,127.6,7.21,35.7,22.29,30.1,30.9,morning,3.29,410.6,8.17
2025-07-06,6,4.08,53.9,6.98,55.0,20.68,29.0,40.3,morning,3.89,460.4,9.19
2025-07-07,0,4.87,89.5,1.57,22.9,18.53,26.4,59.4,morning,2.96,420.3,6.89
2025-07-08,1,5.61,122.4,8.59,31.1,19.88,26.7,0.0,none,2.57,416.4,5.9
2025-07-09,2,5.41,0.0,4.25,43.1,21.2,28.8,28.2,evening,3.43,410.1,6.93
2025-07-10,3,4.79,146.6,7.59,47.6,20.74,44.6,26.9,evening,3.54,357.3,6.43
2025-07-11,4,5.99,142.3,1.86,20.7,21.89,35.8,14.8,afternoon,1.24,404.9,3.64
2025-07-12,5,5.87,155.9,7.73,49.0,21.38,35.9,26.3,morning,2.76,446.2,6.85
2025-07-13,6,5.56,75.3,5.2,44.4,20.85,55.7,14.5,morning,3.78,498.7,5.56
2025-07-14,0,5.06,139.9,4.6,28.0,20.95,44.8,31.4,afternoon,2.39,519.4,6.4
2025-07-15,1,5.32,79.1,4.92,16.1,22.19,35.1,27.5,morning,3.38,384.2,6.5
2025-07-16,2,5.35,158.5,8.0,18.8,21.72,32.0,14.6,morning,4.06,448.2,6.88
2025-07-17,3,6.11,296.5,1.87,20.2,19.39,31.2,3.4,none,1.04,398.6,3.58
2025-07-18,4,6.01,157.6,8.81,27.5,24.32,39.9,0.0,none,0.41,399.9,4.42
2025-07-19,5,5.27,242.5,6.65,59.5,18.82,30.0,25.7,morning,0.27,418.4,5.94
2025-07-20,6,5.01,71.2,3.38,41.5,20.66,42.8,46.6,afternoon,1.95,447.7,6.8
2025-07-21,0,4.69,165.3,9.94,60.8,23.7,31.1,25.3,afternoon,2.38,365.6,6.07
2025-07-22,1,4.88,73.1,7.26,19.1,18.52,39.9,28.0,morning,5.12,450.6,7.63
2025-07-23,2,4.15,36.9,11.75,16.5,18.62,37.7,23.2,morning,2.13,413.4,8.66
2025-07-24,3,3.49,166.0,8.48,22.6,17.65,32.0,23.9,afternoon,1.26,453.6,7.2
2025-07-25,4,2.38,163.7,3.45,41.6,20.94,46.7,36.0,evening,1.56,407.7,5.58
2025-07-26,5,3.77,158.8,6.83,40.7,17.18,34.4,33.3,morning,3.26,439.3,7.81
2025-07-27,6,2.06,22.7,10.66,34.1,16.93,47.9,25.3,evening,2.83,449.2,7.95
2025-07-28,0,3.74,247.8,9.91,3.4,21.3,47.1,49.1,morning,3.9,532.9,8.43
2025-07-29,1,3.7,80.5,6.08,25.2,18.9,25.0,16.3,morning,1.91,449.4,9.38
2025-07-30,2,5.15,136.7,9.48,40.6,22.96,38.4,34.9,afternoon,2.15,508.6,7.07
2025-07-31,3,4.9,144.4,10.77,57.8,20.52,25.0,35.3,evening,4.26,453.9,5.93
2025-08-01,4,4.29,21.9,7.78,34.3,19.62,38.7,80.3,morning,3.76,490.5,8.08
2025-08-02,5,4.44,0.0,4.43,61.2,18.75,36.6,11.2,morning,3.4,447.8,6.77
2025-08-03,6,4.63,129.3,1.44,1.3,20.77,40.6,49.2,evening,4.38,394.0,4.69
2025-08-04,0,5.13,272.8,11.44,57.4,19.8,30.9,40.8,morning,2.21,484.2,6.93
2025-08-05,1,4.82,0.0,8.51,21.0,20.58,37.3,19.5,afternoon,0.66,447.2,6.45
2025-08-06,2,4.45,19.6,9.01,57.5,20.42,25.0,39.1,morning,2.87,383.1,6.71
2025-08-07,3,4.35,104.5,5.07,46.8,19.7,45.8,30.6,afternoon,1.46,422.0,5.22
2025-08-08,4,4.36,0.0,5.39,17.0,23.34,25.0,0.0,none,4.13,395.9,6.01
2025-08-09,5,5.06,0.0,0.0,39.4,23.29,34.5,27.0,morning,5.03,420.5,6.29
2025-08-10,6,6.35,38.1,8.08,24.6,20.68,36.1,5.8,morning,0.49,417.7,4.81
2025-08-11,0,6.52,122.9,7.21,46.4,18.75,43.9,41.4,morning,2.05,446.9,6.08
2025-08-12,1,6.5,98.4,5.79,45.8,19.01,34.7,26.8,morning,1.77,346.0,5.61
2025-08-13,2,5.0,41.2,6.54,11.2,19.24,31.8,16.2,afternoon,3.29,418.8,7.87
2025-08-14,3,4.69,137.5,8.75,16.8,20.57,25.0,29.2,afternoon,2.16,414.0,9.02
2025-08-15,4,4.97,117.6,6.7,32.7,20.69,44.8,52.6,morning,2.78,459.3,7.28
2025-08-16,5,4.48,162.3,2.71,66.8,24.48,37.0,0.0,none,3.98,414.6,4.58
2025-08-17,6,5.41,151.9,8.65,63.4,23.24,40.9,43.1,morning,1.78,434.3,6.89
2025-08-18,0,5.83,133.2,5.24,35.2,23.08,42.4,0.0,none,4.64,346.9,5.25
2025-08-19,1,6.86,174.0,6.79,27.6,22.45,33.7,48.0,morning,2.79,416.8,6.51
2025-08-20,2,6.87,81.2,2.13,47.3,21.64,41.8,33.2,afternoon,3.44,396.2,5.47
2025-08-21,3,5.9,247.5,1.8,45.0,17.48,37.1,16.3,morning,2.97,326.2,4.14
2025-08-22,4,6.14,214.1,11.47,42.2,20.58,48.6,58.6,evening,1.37,419.2,4.32
2025-08-23,5,4.38,143.8,11.82,57.8,23.15,39.5,23.5,afternoon,1.52,461.6,5.72
2025-08-24,6,5.62,64.9,7.9,43.3,21.11,41.7,44.9,evening,4.19,436.7,5.52
2025-08-25,0,4.77,247.9,8.41,49.3,17.61,31.4,49.8,morning,0.2,406.1,6.8
2025-08-26,1,5.88,120.9,7.61,58.6,18.88,30.1,21.1,morning,0.9,439.9,5.08
2025-08-27,2,5.09,97.1,1.43,21.4,20.49,45.4,9.6,afternoon,1.68,464.9,5.0
2025-08-28,3,5.21,88.3,6.53,62.1,23.14,31.5,24.2,afternoon,1.32,413.3,5.41
2025-08-29,4,5.95,199.1,6.01,30.7,21.7,33.3,36.8,morning,1.34,465.6,5.44
2025-08-30,5,5.45,221.6,3.46,50.8,24.81,29.5,0.0,none,1.51,380.4,4.1
2025-08-31,6,5.47,66.2,4.46,54.0,18.69,32.4,18.1,afternoon,1.99,409.7,6.62
2025-09-01,0,5.08,119.4,5.03,48.8,23.08,34.3,34.7,morning,2.94,448.2,7.27
2025-09-02,1,3.77,138.7,10.7,30.6,22.29,32.5,0.0,none,0.39,462.8,5.78
2025-09-03,2,2.89,28.5,3.9,33.7,19.84,49.2,44.1,afternoon,2.67,403.6,7.8
2025-09-04,3,4.35,48.7,9.51,58.7,20.88,36.6,33.0,evening,2.86,414.3,5.73
2025-09-05,4,5.12,116.3,3.58,32.2,20.62,38.9,28.2,morning,1.2,463.7,5.86
2025-09-06,5,3.82,122.5,3.24,37.6,18.87,36.6,61.8,morning,1.1,474.6,5.32
2025-09-07,6,3.96,111.2,3.79,26.1,20.08,57.7,52.8,morning,3.28,356.2,6.18
2025-09-08,0,5.11,190.4,10.14,25.6,20.2,44.0,32.8,morning,0.56,462.0,6.51
2025-09-09,1,4.2,152.8,7.99,50.0,22.07,32.4,0.0,none,3.57,392.9,5.93
2025-09-10,2,3.21,212.6,9.48,50.4,22.24,42.6,20.1,afternoon,1.99,461.8,8.59
2025-09-11,3,3.59,138.1,3.97,65.1,19.31,42.0,46.3,morning,2.61,423.7,6.81
2025-09-12,4,3.74,84.2,11.44,32.8,19.09,33.9,47.0,afternoon,1.81,429.3,8.23
2025-09-13,5,4.66,79.0,4.22,64.4,22.07,30.1,7.9,morning,4.57,416.2,4.63
2025-09-14,6,3.8,73.6,3.91,36.6,19.54,38.1,14.3,morning,3.44,457.3,6.94
2025-09-15,0,3.17,125.1,9.03,14.4,20.52,37.1,61.8,afternoon,0.5,411.5,8.88
2025-09-16,1,4.61,175.5,4.01,44.9,20.31,42.4,29.6,evening,2.59,462.3,6.48
2025-09-17,2,5.18,165.2,5.01,14.1,19.48,33.0,40.7,morning,2.31,489.0,8.36
2025-09-18,3,5.29,72.7,11.73,33.8,20.73,35.3,7.2,afternoon,3.26,529.3,6.07
2025-09-19,4,4.39,40.3,8.53,65.6,20.62,42.6,0.0,none,1.21,404.7,4.0
2025-09-20,5,3.02,26.8,3.39,28.4,21.21,40.4,42.9,afternoon,3.87,441.9,7.39
